ItemName,Qty,Price($),Link,Notes
2A, 5V step up controller,1,$2.13,https://www.aliexpress.com/item/3256811362504247.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%202.13%21USD%202.13%21%21USD%202.13%21%21%21%402103212517827837150608379e2fb3%2112000055888027938%21ct%21US%217708064023%21%211%210%21,used for converting the solar power to usuable power for esp32 
On/Off switch interrupted,1,$1.20,https://www.aliexpress.com/item/3256805447103314.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%201.20%21USD%201.20%21%21USD%201.20%21%21%21%402103212517827837150608379e2fb3%2112000033823089887%21ct%21US%217708064023%21%211%210%21,interrupts current from usbc/solar to esp32 and battery
1000mAh 3.7V Li-Po Battery,1,$5.42,https://www.aliexpress.com/item/3256811355626242.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%2011.67%21USD%205.42%21%21USD%205.42%21%21%21%402103212517827837150608379e2fb3%2112000055868825938%21ct%21US%217708064023%21%211%210%21,provides stores excess power to the device when solar and used when power is not directly available
Solar battery charging controller,1,$1.59,https://www.aliexpress.com/item/3256805857091817.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%201.59%21USD%201.59%21%21USD%201.59%21%21%21%402103212517827837150608379e2fb3%2112000035459207146%21ct%21US%217708064023%21%211%210%21,controls the battery, current passing through, manages which power source is being used
100.8x82.5 5V Solar Panel,2,$6.04,https://www.aliexpress.com/item/3256809207132616.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%202.45%21USD%202.45%21%21USD%202.45%21%21%21%402103212517827837150608379e2fb3%2112000048980734577%21ct%21US%217708064023%21%211%210%21,solar panels as the main daytime source of power for esp32 and screen
Estardyn 2.0inch LCD screen,1,$4.60,https://www.aliexpress.com/item/3256811900584891.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%2010.00%21USD%204.60%21%21USD%204.60%21%21%21%402103212517827840025043155e2fb3%2112000057480953577%21ct%21US%217708064023%21%211%210%21,screen used to display the planes above and data fetched
Brass tubing,2,$5.22,https://www.aliexpress.com/item/3256801754959471.html?spm=a2g0o.cart.0.0.da8f38dajpWpQs&mp=1&pdp_npi=6%40dis%21USD%21USD%202.61%21USD%202.61%21%21USD%202.61%21%21%21%402103123917827844168366372e35cd%2112000027302154509%21ct%21US%217708064023%21%212%210%21,used for main structure of the satellite and connects it to the base
copper wiring,2,$6.62,https://www.aliexpress.us/item/2251832846220176.html?mp=1&pdp_npi=6@dis!USD!USD+3.45!USD+3.45!!USD+3.45!!!@2103123917827845667258555e35cd!67341408270!ct!US!7708064023!!1!0!&gatewayAdapt=glo2usa,2 different sizes needed; used to wire together all the parts
80W soldering iron,1,$6.04,https://www.aliexpress.com/item/3256805417960011.html?spm=a2g0o.cart.0.0.2e6738daRhNGTB&mp=1&pdp_npi=6%40dis%21USD%21USD%206.04%21USD%206.04%21%21USD%206.04%21%21%21%402103123917827845667258555e35cd%2112000033724679763%21ct%21US%217708064023%21%211%210%21,to solder parts and wires together
TOTAL PRICE: approx $40 